reach_name,reach_length_m,drainage_ha,currentflow_cfs,lowflow_2040_cfs,lowflow_2080_cfs,system_id
Butcher Cr,6217.62,1524.92,3.29,3.02,2.83,NONAG
Butter Cr1,1660.25,116274.3,1,1,1,IRRIGATED
Butter Cr10,3680.46,22404.03,45.19,41.29,39.28,IRRIGATED
Butter Cr11,10036.45,16378.12,27.68,25.33,24.15,IRRIGATED
Butter Cr12,17170.6,3896.5,5.67,5.15,4.97,NONAG
Butter Cr3,7983.32,114914.66,1,1,1,IRRIGATED
Butter Cr4,1739.19,113615.9,1,1,1,IRRIGATED
Butter Cr6,17595.49,109995.57,1,1,1,IRRIGATED
Butter Cr7,19699.53,76467.64,35,35,35,IRRIGATED
Butter Cr8,17444.31,56118.03,35,35,35,DRYLAND
Butter Cr9,6907.99,42870.57,35,35,35,DRYLAND
Butter EF Cr1,11692.13,12774.2,18.37,16.66,15.84,NONAG
Butter EF Cr2,4463.8,6665.08,11.97,10.81,10.28,NONAG
Butter EF Cr3,245.06,5207.72,8.39,7.6,7.23,NONAG
Butter EF Cr4,10319,2906.9,5.68,5.09,4.92,NONAG
Calamity Cr,1875.43,1275.5,2.43,2.17,2.07,NONAG
California Gulch,3343.35,1635.87,2.88,2.66,2.51,NONAG
Camp Cr1,212.75,2717.4,6.81,6.12,5.66,NONAG
Camp Cr3,5767.43,1993.3,3.04,2.73,2.52,NONAG
Canyon Cr,1544.42,451.2,1,0.93,0.85,NONAG
Coonskin Cr1,386.79,1491.5,2.22,2.08,2,DRYLAND
Coonskin Cr3,2827.32,1099.8,1.37,1.28,1.24,DRYLAND
Cottonwood Cr1,2145.49,200,2.68,2.45,2.32,DRYLAND
Cottonwood Cr3,4611.62,200,1.81,1.64,1.55,DRYLAND
Coyote Cr1,1579.78,2136.76,4.64,4.15,3.76,NONAG
Coyote EF,2063.19,541.1,1.39,1.21,1.09,NONAG
Coyote WF,1980.9,1231,2.7,2.43,2.23,NONAG
Dark Canyon,852.83,200,1.89,1.73,1.67,NONAG
Darr Cr,3771.9,1005.2,2.17,1.99,1.87,NONAG
Deadman Pass Canyon,631.85,452.3,0.99,0.89,0.85,NONAG
